Return,steps
2.0,325.0
-7.8,235.0
-1.0,267.0
1.0,358.0
-9.8,245.0
-3.0,235.0
6.0,413.0
-8.8,257.0
-3.0,361.0
1.0,280.0
0.0,270.0
-9.8,250.0
-8.8,250.0
-8.8,257.0
8.0,403.0
-6.8,237.0
-8.8,235.0
-8.8,250.0
-7.8,235.0
-7.8,255.0
4.0,398.0
-1.0,330.0
-9.8,250.0
7.0,418.0
-7.8,255.0
-8.8,250.0
1.0,429.0
2.0,351.0
1.0,353.0
1.0,261.0
-7.8,255.0
3.0,472.0
1.0,275.0
6.0,408.0
-7.8,250.0
-4.0,259.0
-9.8,245.0
5.0,386.0
-1.0,302.0
1.0,336.0
-8.8,235.0
-1.0,344.0
-1.0,310.0
-7.8,235.0
6.0,437.0
-7.8,235.0
-7.8,235.0
4.0,328.0
9.0,332.0
-4.0,244.0
18.0,512.0
3.0,308.0
4.0,285.0
1.0,308.0
-8.8,235.0
-8.8,230.0
-7.8,250.0
3.0,374.0
-7.8,235.0
24.0,512.0
7.0,414.0
-8.8,235.0
-8.8,255.0
-8.8,250.0
-2.0,253.0
6.0,263.0
5.0,443.0
-8.8,230.0
-9.8,250.0
3.0,343.0
-8.8,235.0
-7.8,250.0
-2.0,292.0
8.0,315.0
-7.8,250.0
3.0,420.0
-1.0,325.0
0.0,285.0
4.0,363.0
-9.8,230.0
-8.8,235.0
-7.8,255.0
-8.8,235.0
7.0,426.0
-7.8,255.0
-8.8,235.0
-8.8,255.0
0.0,290.0
-9.8,245.0
0.0,264.0
7.0,340.0
-9.8,245.0
-9.8,245.0
13.0,411.0
1.0,303.0
8.0,450.0
-8.8,250.0
-8.8,245.0
1.0,315.0
-2.0,295.0
4.199999999999999,253.0
0.0,330.0
3.599999999999998,293.0
-1.0,341.0
-8.8,259.0
0.0,250.0
9.0,425.0
-9.8,245.0
-2.0,315.0
-8.8,250.0
-7.8,235.0
-9.8,245.0
1.0,305.0
22.0,512.0
5.0,350.0
-8.8,230.0
4.0,381.0
-9.8,249.0
-2.0,254.0
3.0,319.0
6.0,335.0
-8.8,250.0
0.0,256.0
-9.8,245.0
-9.8,230.0
6.0,315.0
-8.8,237.0
1.0,319.0
2.0,319.0
6.0,404.0
1.0,290.0
-8.8,250.0
-8.8,250.0
1.0,285.0
4.0,335.0
-7.8,235.0
7.0,410.0
-7.8,270.0
-7.8,250.0
-8.8,250.0
-7.8,235.0
-7.8,235.0
-7.8,235.0
-2.0,272.0
3.0,315.0
-3.0,317.0
4.0,446.0
-3.0,280.0
-9.8,250.0
